alg,seed,best_cost,energy_j,completion,wall_time_s,iterations
qipso,0,50768.421875,15259.517578125,0.31881770491600037,0.8039929904043674,300
qipso,1,57849.046875,14526.935546875,0.258894145488739,0.782164148055017,300
qipso,2,57884.48046875,14834.427734375,0.339983195066452,0.7747470159083605,300
qipso,3,52520.28515625,14282.5234375,0.34739425778388977,0.776002787053585,300
qipso,4,52411.203125,14852.7705078125,0.40424802899360657,0.7745249248109758,300
qipso,5,59103.4609375,14168.9130859375,0.2947593331336975,0.7769235093146563,300
qipso,6,51953.55859375,15181.9482421875,0.3829099237918854,0.7742476966232061,300
qipso,7,50414.08984375,15811.6708984375,0.4001941680908203,0.7758668321184814,300
qipso,8,55487.03515625,14914.361328125,0.34153279662132263,0.7903665639460087,300
qipso,9,53292.52734375,16070.900390625,0.33886098861694336,0.7992796436883509,300
qipso,10,44723.109375,15832.0146484375,0.5244804620742798,0.7970885238610208,300
qipso,11,56289.90625,13995.416015625,0.19823729991912842,0.7940680710598826,300
qipso,12,54284.625,14611.380859375,0.3529491424560547,0.7812969041988254,300
qipso,13,68906.546875,14429.552734375,0.10978370904922485,0.7824456593953073,300
qipso,14,55709.359375,15160.9970703125,0.34362107515335083,0.7825149320997298,300
qipso,15,53100.9921875,14198.689453125,0.2399437427520752,0.7775022448040545,300
qipso,16,50069.171875,14562.578125,0.3171410858631134,0.7713448298163712,300
qipso,17,49580.92578125,16139.2578125,0.3935469388961792,0.7788381460122764,300
qipso,18,54006.3984375,15211.783203125,0.2760320007801056,0.7778960140421987,300
qipso,19,40603.84375,15476.310546875,0.4489136040210724,0.7763884258456528,300
qipso,20,60281.6015625,17143.00390625,0.2249639928340912,0.7836055848747492,300
qipso,21,56644.0234375,15533.4580078125,0.3517674207687378,0.7911979360505939,300
qipso,22,48856.73046875,14229.8251953125,0.27581310272216797,0.783477250020951,300
qipso,23,50739.33984375,14416.06640625,0.30668455362319946,0.784443189855665,300
qipso,24,48560.6953125,16132.9169921875,0.38352686166763306,0.8018528898246586,300
qipso,25,52115.0234375,15343.6162109375,0.28784772753715515,0.7815998769365251,300
qipso,26,58150.375,16433.431640625,0.20852388441562653,0.7844450562261045,300
qipso,27,49125.9921875,15273.474609375,0.33327752351760864,0.7864078590646386,300
qipso,28,39848.0,15090.119140625,0.49083754420280457,0.7769187847152352,300
qipso,29,52299.6875,17136.98046875,0.2937255799770355,0.7902354006655514,300
qipsode,0,49543.6484375,13461.890625,0.30782827734947205,0.9543640688061714,300
qipsode,1,56820.375,13498.263671875,0.258894145488739,0.8826770419254899,300
qipsode,2,58151.0234375,13714.8828125,0.31873252987861633,0.8854381451383233,300
qipsode,3,52191.171875,13802.267578125,0.3448147177696228,0.8821800220757723,300
qipsode,4,52507.5859375,13444.396484375,0.3803795874118805,0.8848771420307457,300
qipsode,5,58208.984375,13274.4375,0.2947593331336975,0.8809845796786249,300
qipsode,6,50065.39453125,13298.64453125,0.3829099237918854,0.8865520539693534,300
qipsode,7,49040.109375,13252.48828125,0.37964949011802673,0.8873289991170168,300
qipsode,8,53659.29296875,14587.1474609375,0.3658854067325592,0.889663303270936,300
qipsode,9,50833.4765625,13636.0224609375,0.33886098861694336,0.8827487831003964,300
qipsode,10,44267.2421875,13822.365234375,0.4985078275203705,0.8750312789343297,300
qipsode,11,55848.109375,13553.619140625,0.19823729991912842,0.8907185890711844,300
qipsode,12,53816.53125,13513.82421875,0.3426828980445862,0.8767435769550502,300
qipsode,13,67908.265625,13431.2685546875,0.10978370904922485,0.8794244858436286,300
