variant,seed,best_cost,energy_j,completion,wall_time_s
full,0,50768.421875,15259.517578125,0.31881770491600037,0.5789131629280746
full,1,57849.046875,14526.935546875,0.258894145488739,0.5637117722071707
full,2,57884.48046875,14834.427734375,0.339983195066452,0.5580079201608896
full,3,52520.28515625,14282.5234375,0.34739425778388977,0.5637777741067111
full,4,52411.203125,14852.7705078125,0.40424802899360657,0.5614868248812854
full,5,59103.4609375,14168.9130859375,0.2947593331336975,0.5608196356333792
full,6,51953.55859375,15181.9482421875,0.3829099237918854,0.559165847953409
full,7,50414.08984375,15811.6708984375,0.4001941680908203,0.5576397441327572
full,8,55487.03515625,14914.361328125,0.34153279662132263,0.557366875000298
full,9,53292.52734375,16070.900390625,0.33886098861694336,0.5592351867817342
full,10,44723.109375,15832.0146484375,0.5244804620742798,0.561241596005857
full,11,56289.90625,13995.416015625,0.19823729991912842,0.5641117333434522
full,12,54284.625,14611.380859375,0.3529491424560547,0.5593402772210538
full,13,68906.546875,14429.552734375,0.10978370904922485,0.5670088399201632
full,14,55709.359375,15160.9970703125,0.34362107515335083,0.5661338018253446
full,15,53100.9921875,14198.689453125,0.2399437427520752,0.5662412368692458
full,16,50069.171875,14562.578125,0.3171410858631134,0.564608309417963
full,17,49580.92578125,16139.2578125,0.3935469388961792,0.5647028503008187
full,18,54006.3984375,15211.783203125,0.2760320007801056,0.5643373089842498
full,19,40603.84375,15476.310546875,0.4489136040210724,0.5631825453601778
full,20,60281.6015625,17143.00390625,0.2249639928340912,0.5658399318344891
full,21,56644.0234375,15533.4580078125,0.3517674207687378,0.5638230186887085
full,22,48856.73046875,14229.8251953125,0.27581310272216797,0.5656485068611801
full,23,50739.33984375,14416.06640625,0.30668455362319946,0.566478256136179
full,24,48560.6953125,16132.9169921875,0.38352686166763306,0.5636509312316775
full,25,52115.0234375,15343.6162109375,0.28784772753715515,0.5648093307390809
full,26,58150.375,16433.431640625,0.20852388441562653,0.5628806441091001
full,27,49125.9921875,15273.474609375,0.33327752351760864,0.5644395211711526
full,28,39848.0,15090.119140625,0.49083754420280457,0.5654966467991471
full,29,52299.6875,17136.98046875,0.2937255799770355,0.5635525300167501
no_rotation,0,50215.55859375,14132.6826171875,0.3078068792819977,0.488919441588223
no_rotation,1,58513.796875,15191.6865234375,0.258894145488739,0.4927535569295287
no_rotation,2,56691.1875,14257.9267578125,0.34943944215774536,0.4905078709125519
no_rotation,3,52731.203125,14856.2919921875,0.35358715057373047,0.4899771870113909
no_rotation,4,53367.1328125,14303.9423828125,0.3803795874118805,0.48931664088740945
no_rotation,5,59068.4453125,13924.3828125,0.2914709746837616,0.49056447809562087
no_rotation,6,50243.78125,13477.029296875,0.3829099237918854,0.49097016314044595
no_rotation,7,50656.234375,15517.958984375,0.3909054696559906,0.4899175423197448
